,country,capital,region_id,subregion_id,continents_id
0,Jordan,Amman,3,22,2
1,Northern Mariana Islands,Saipan,5,9,5
2,Serbia,Belgrade,4,17,3
3,Andorra,Andorra la Vella,4,20,3
4,Turks and Caicos Islands,Cockburn Town,1,1,4
5,Bermuda,Hamilton,1,11,4
6,Antarctica,nan,2,-1,1
7,Bolivia,Sucre,1,15,6
8,Libya,Tripoli,0,12,0
9,Mali,Bamako,0,21,0
10,Armenia,Yerevan,3,22,2
11,Mauritius,Port Louis,0,5,0
12,Maldives,Malé,3,19,2
13,American Samoa,Pago Pago,5,14,5
14,North Macedonia,Skopje,4,17,3
15,Ethiopia,Addis Ababa,0,5,0
16,Greenland,Nuuk,1,11,4
17,Iraq,Baghdad,3,22,2
18,Guatemala,Guatemala City,1,2,4
19,Trinidad and Tobago,Port of Spain,1,1,4
20,Peru,Lima,1,15,6
21,Suriname,Paramaribo,1,15,6
22,Sweden,Stockholm,4,13,3
23,New Caledonia,Nouméa,5,8,5
24,French Polynesia,Papeetē,5,14,5
25,Benin,Porto-Novo,0,21,0
26,Estonia,Tallinn,4,13,3
27,Falkland Islands,Stanley,1,15,6
28,Guam,Hagåtña,5,9,5
29,Zimbabwe,Harare,0,18,0
30,Slovakia,Bratislava,4,4,3
31,Netherlands,Amsterdam,4,23,3
32,Ecuador,Quito,1,15,6
33,Saudi Arabia,Riyadh,3,22,2
34,United Arab Emirates,Abu Dhabi,3,22,2
35,Afghanistan,Kabul,3,19,2
36,United States Minor Outlying Islands,Washington DC,1,11,5
37,Central African Republic,Bangui,0,10,0
38,Panama,Panama City,1,2,4
39,Vatican City,Vatican City,4,20,3
40,Syria,Damascus,3,22,2
41,Vanuatu,Port Vila,5,8,5
42,Honduras,Tegucigalpa,1,2,4
43,Kiribati,South Tarawa,5,9,5
44,Chile,Santiago,1,15,6
45,Burkina Faso,Ouagadougou,0,21,0
46,Saint Kitts and Nevis,Basseterre,1,1,4
47,Saint Barthélemy,Gustavia,1,1,4
48,Mexico,Mexico City,1,11,4
49,China,Beijing,3,6,2
50,Timor-Leste,Dili,3,16,5
51,British Indian Ocean Territory,Diego Garcia,0,5,2
52,South Sudan,Juba,0,10,0
53,Eswatini,Mbabane,0,18,0
54,Uzbekistan,Tashkent,3,3,2
55,Indonesia,Jakarta,3,16,2
56,Paraguay,Asunción,1,15,6
57,Monaco,Monaco,4,23,3
58,Grenada,"""St. Georges""",1,1,4
59,Croatia,Zagreb,4,17,3
60,Poland,Warsaw,4,4,3
61,Bosnia and Herzegovina,Sarajevo,4,17,3
62,Canada,Ottawa,1,11,4
63,Portugal,Lisbon,4,20,3
64,Brazil,Brasília,1,15,6
65,Mauritania,Nouakchott,0,21,0
66,Israel,Jerusalem,3,22,2
67,Curaçao,Willemstad,1,1,4
68,Brunei,Bandar Seri Begawan,3,16,2
69,Angola,Luanda,0,10,0
70,Malta,Valletta,4,20,3
71,Belarus,Minsk,4,7,3
72,Turkey,Ankara,3,22,2
73,Finland,Helsinki,4,13,3
74,Gibraltar,Gibraltar,4,20,3
75,Bhutan,Thimphu,3,19,2
76,Spain,Madrid,4,20,3
77,Venezuela,Caracas,1,15,6
78,Qatar,Doha,3,22,2
79,Czechia,Prague,4,4,3
80,Kuwait,Kuwait City,3,22,2
