Location,PopMale,PopFemale,PopTotal
Afghanistan,21319.695,20920.164,42239.856
Albania,1410.889,1421.56,2832.443
Algeria,23217.162,22389.326,45606.481
American Samoa,21.706,22.253,43.938
Andorra,40.926,39.206,80.104
Angola,18135.541,18548.661,36684.212
Anguilla,7.788,8.155,15.921
Antigua and Barbuda,45.074,49.274,94.314
Argentina,22663.144,23110.738,45773.886
Armenia,1249.093,1528.878,2777.974
Aruba,50.076,56.248,106.286
Australia,13129.917,13309.2,26439.114
Austria,4412.6359999999995,4546.335,8958.961
Azerbaijan,5139.293,5273.362,10412.652
Bahamas,196.871,215.771,412.628
Bahrain,918.627,566.901,1485.521
Bangladesh,85672.236,87282.086,172954.325
Barbados,135.302,146.722,281.998
Belarus,4370.3060000000005,5127.93,9498.237
Belgium,5777.088,5909.053,11686.148
Belize,206.47,204.38,410.829
Benin,6870.721,6842.117,13712.833
Bermuda,30.886,33.227,64.093
Bhutan,416.20300000000003,371.232,787.433
Bolivia (Plurinational State of),6206.092,6182.487,12388.575
"Bonaire, Sint Eustatius and Saba",13.885,13.314,27.172
Bosnia and Herzegovina,1580.359,1630.492,3210.855
Botswana,1321.667,1353.692,2675.3559999999998
Brazil,106241.12,110181.335,216422.45
British Virgin Islands,15.223,16.368,31.561
Brunei Darussalam,233.905,218.641,452.536
Bulgaria,3243.217,3444.511,6687.716
Burkina Faso,11588.749,11662.743,23251.489
Burundi,6575.323,6663.246,13238.559
Cabo Verde,297.659,301.039,598.691
Cambodia,8384.571,8560.265,16944.831
Cameroon,14289.699,14357.596,28647.293
Canada,19274.867,19506.428,38781.29
Cayman Islands,34.962,34.388,69.33
Central African Republic,2869.3269999999998,2872.996,5742.32
Chad,9174.5,9104.075,18278.575
Chile,9741.98,9887.617,19629.588
China,727172.809,698498.54,1425671.353
"China, Hong Kong SAR",3446.895,4044.705,7491.602
"China, Macao SAR",329.914,374.246,704.155
"China, Taiwan Province of China",11831.267,12092.02,23923.273
Colombia,25668.673,26416.501,52085.166
Comoros,428.141,423.952,852.08
Congo,3049.944,3056.931,6106.869
Cook Islands,8.13,8.959,17.069
Costa Rica,2605.234,2606.941,5212.178
Croatia,1953.67,2054.947,4008.615
Cuba,5551.692,5642.77,11194.447
Curaçao,92.161,99.942,192.09
Cyprus,631.16,628.992,1260.144
Czechia,5175.71,5319.587,10495.297
Côte d'Ivoire,14569.027,14304.008,28873.04
Dem. People's Republic of Korea,12960.709,13200.114,26160.825
Democratic Republic of the Congo,50732.481,51530.324,102262.812
Denmark,2941.01,2969.903,5910.911
Djibouti,563.833,572.639,1136.461
Dominica,36.308,36.781,73.062
