Location,Time,AgeGrp,PopMale,PopFemale,PopTotal
Africa,2023,0,22572.613,21914.151,44486.765
Africa,2023,1,21999.036,21401.363,43400.399
Africa,2023,2,21570.507,21007.715,42578.223
Africa,2023,3,21165.584,20629.28,41794.863
Africa,2023,4,20765.315,20251.836,41017.151
Africa,2023,5,20358.233,19862.592,40220.825
Africa,2023,6,19965.429,19484.039,39449.469
Africa,2023,7,19632.893,19164.925,38797.817
Africa,2023,8,19301.85,18846.944,38148.793
Africa,2023,9,18918.167,18477.437,37395.605
Africa,2023,10,18538.436,18110.418,36648.854
Africa,2023,11,18158.996,17741.337,35900.332
Africa,2023,12,17751.03,17346.036,35097.067
Africa,2023,13,17303.033,16913.197,34216.23
Africa,2023,14,16850.911,16479.451,33330.361
Africa,2023,15,16377.516,16028.355,32405.871
Africa,2023,16,15878.144,15550.897,31429.04
Africa,2023,17,15390.559,15085.454,30476.014
Africa,2023,18,14893.029,14615.61,29508.639
Africa,2023,19,14405.651,14156.937,28562.588
Africa,2023,20,13949.313,13723.27,27672.583
Africa,2023,21,13516.805,13309.343,26826.148
Africa,2023,22,13086.223,12899.546,25985.768
Africa,2023,23,12658.406,12500.067,25158.472
Africa,2023,24,12238.362,12110.824,24349.186
Africa,2023,25,11867.425,11763.299,23630.725
Africa,2023,26,11572.841,11490.371,23063.212
Africa,2023,27,11286.425,11226.857,22513.282
Africa,2023,28,10967.391,10926.314,21893.705
Africa,2023,29,10672.046,10648.228,21320.274
Africa,2023,30,10410.974,10407.319,20818.292
Africa,2023,31,10142.397,10158.87,20301.267
Africa,2023,32,9879.769,9913.151,19792.92
Africa,2023,33,9644.121,9693.257,19337.377
Africa,2023,34,9418.425,9481.325,18899.75
Africa,2023,35,9181.842,9251.779,18433.621
Africa,2023,36,8934.06,9007.698,17941.758
Africa,2023,37,8665.678,8743.399,17409.077
Africa,2023,38,8388.567,8461.056,16849.624
Africa,2023,39,8117.206,8175.912,16293.118
Africa,2023,40,7846.234,7893.835,15740.069
Africa,2023,41,7570.113,7611.135,15181.247
Africa,2023,42,7292.115,7325.984,14618.099
Africa,2023,43,6997.057,7028.514,14025.57
Africa,2023,44,6679.815,6717.499,13397.315
Africa,2023,45,6362.07,6408.739,12770.809
Africa,2023,46,6057.008,6116.06,12173.068
Africa,2023,47,5772.481,5845.466,11617.947
Africa,2023,48,5509.251,5597.437,11106.688
Africa,2023,49,5265.007,5372.913,10637.919
Africa,2023,50,5048.858,5181.112,10229.97
Africa,2023,51,4844.902,5004.37,9849.272
Africa,2023,52,4636.448,4824.693,9461.14
Africa,2023,53,4430.181,4649.302,9079.483
Africa,2023,54,4227.172,4476.743,8703.915
Africa,2023,55,4027.499,4304.261,8331.76
Africa,2023,56,3832.675,4133.867,7966.541
Africa,2023,57,3638.784,3961.108,7599.892
Africa,2023,58,3449.983,3790.195,7240.178
Africa,2023,59,3267.711,3623.834,6891.544
Africa,2023,60,3088.996,3459.484,6548.48
Africa,2023,61,2910.472,3292.428,6202.9
Africa,2023,62,2733.334,3122.344,5855.677
Africa,2023,63,2564.008,2956.45,5520.458
Africa,2023,64,2401.909,2795.354,5197.263
Africa,2023,65,2245.066,2636.119,4881.185
Africa,2023,66,2096.715,2481.749,4578.463
Africa,2023,67,1955.141,2332.836,4287.977
Africa,2023,68,1817.521,2186.827,4004.348
Africa,2023,69,1682.96,2042.192,3725.153
Africa,2023,70,1549.955,1897.043,3446.997
Africa,2023,71,1419.045,1751.765,3170.811
Africa,2023,72,1289.513,1607.02,2896.532
Africa,2023,73,1158.85,1455.407,2614.256
Africa,2023,74,1041.744,1323.274,2365.017
Africa,2023,75,945.729,1220.388,2166.117
Africa,2023,76,847.696,1111.859,1959.554
Africa,2023,77,743.278,993.237,1736.515
Africa,2023,78,644.231,877.249,1521.479
Africa,2023,79,553.543,769.164,1322.707
Africa,2023,80,473.361,672.632,1145.993
Africa,2023,81,401.406,585.11,986.516
Africa,2023,82,336.644,504.038,840.682
Africa,2023,83,279.916,430.831,710.746
Africa,2023,84,230.262,365.447,595.708
Africa,2023,85,186.463,306.172,492.635
Africa,2023,86,147.792,251.901,399.693
Africa,2023,87,114.77,203.865,318.636
Africa,2023,88,88.067,163.782,251.849
Africa,2023,89,66.901,130.751,197.653
Africa,2023,90,49.929,102.881,152.81
Africa,2023,91,36.556,79.582,116.138
Africa,2023,92,26.185,60.365,86.55
